customer_id,snapshot_month,age,income,months_on_book,utilisation_ratio,missed_payments_6m,payment_ratio,max_dpd_12m,cibil_score,num_enquiries_6m,num_active_trades,bad_flag
OOT000001,01-09-2022,25,98000,47,0.7086,1,1.3065,0,744,0,2,0
OOT000002,01-09-2022,59,37000,53,0.2675,0,0.7622,0,664,2,4,0
OOT000003,01-09-2022,64,61000,25,0.435,1,0.5059,0,741,0,9,0
OOT000004,01-09-2022,33,37000,58,0.653,1,0.785,30,785,2,1,0
OOT000005,01-09-2022,64,49000,36,0.1267,0,1.1996,0,666,2,2,0
OOT000006,01-09-2022,42,73000,43,0.808,2,0.8977,0,672,2,11,0
OOT000007,01-09-2022,28,55000,28,0.3603,0,0.7035,0,533,1,16,0
OOT000008,01-09-2022,29,51000,46,0.3598,3,0.5624,0,650,3,16,0
OOT000009,01-09-2022,25,35000,19,0.4792,2,1.4123,0,715,2,13,0
OOT000010,01-09-2022,47,43000,32,0.2042,0,0.7008,0,565,0,11,0
OOT000011,01-09-2022,59,70000,61,0.2435,0,0.9291,30,502,2,3,1
OOT000012,01-09-2022,25,37000,18,0.5459,1,1.5489,0,679,0,9,0
OOT000013,01-09-2022,53,58000,62,0.3969,3,1.2716,0,727,2,11,0
OOT000014,01-09-2022,62,24000,70,0.8393,2,0.714,180,500,0,13,1
OOT000015,01-09-2022,47,53000,72,0.3062,2,0.5995,0,687,2,3,0
OOT000016,01-09-2022,26,68000,63,0.4836,1,0.7557,0,564,1,7,0
OOT000017,01-09-2022,24,64000,61,0.6359,1,0.6125,0,698,3,12,0
OOT000018,01-09-2022,36,65000,29,0.7103,2,0.5097,0,614,0,13,1
OOT000019,01-09-2022,64,28000,68,0.0955,2,1.0899,0,712,6,13,0
OOT000020,01-09-2022,32,75000,59,0.731,0,0.7341,0,605,1,15,0
OOT000021,01-09-2022,44,68000,10,0.3239,2,1.2939,0,771,2,13,0
OOT000022,01-09-2022,63,28000,18,0.7619,0,0.9082,30,600,2,7,0
OOT000023,01-09-2022,39,49000,35,0.5923,2,1.0746,0,697,3,9,0
OOT000024,01-09-2022,51,22000,58,0.4136,0,2.0425,0,679,0,2,0
OOT000025,01-09-2022,61,44000,71,0.7058,1,1.1466,0,739,1,1,0
OOT000026,01-09-2022,60,43000,65,0.4187,0,1.0725,60,550,2,16,0
OOT000027,01-09-2022,41,49000,64,0.8363,0,0.7491,0,668,1,14,0
OOT000028,01-09-2022,33,37000,11,0.2331,1,1.318,0,806,0,11,0
OOT000029,01-09-2022,56,40000,15,0.5551,1,0.7972,0,709,3,5,0
OOT000030,01-09-2022,45,150000,28,0.7076,1,0.8743,0,605,1,5,0
OOT000031,01-09-2022,59,39000,40,0.2488,5,0.7183,30,683,3,14,1
OOT000032,01-09-2022,43,42000,18,0.7299,3,3,0,692,2,15,0
OOT000033,01-09-2022,46,152000,66,0.3979,0,1.6605,0,764,1,3,0
OOT000034,01-09-2022,50,56000,12,0.2406,0,0.9807,0,671,2,15,0
OOT000035,01-09-2022,29,57000,60,0.471,1,1.7621,0,764,1,12,0
OOT000036,01-09-2022,36,20000,58,0.164,2,0.676,0,678,4,6,0
