customer_id,bad_flag,pd_score
OOT000001,0,0.033522591
OOT000002,0,0.044496768
OOT000003,0,0.03478011
OOT000004,0,0.03891292
OOT000005,0,0.046417565
OOT000006,0,0.045350824
OOT000007,0,0.082549208
OOT000008,0,0.048335846
OOT000009,0,0.03810137
OOT000010,0,0.071162608
OOT000011,1,0.130557011
OOT000012,0,0.044671444
OOT000013,0,0.033849312
OOT000014,1,0.542178505
OOT000015,0,0.039128359
OOT000016,0,0.06809355
OOT000017,0,0.038390255
OOT000018,1,0.059369704
OOT000019,0,0.034735865
OOT000020,0,0.058188987
OOT000021,0,0.031630855
OOT000022,0,0.092820907
OOT000023,0,0.040463458
OOT000024,0,0.040522468
OOT000025,0,0.031085503
OOT000026,0,0.15119466
OOT000027,0,0.042939715
OOT000028,0,0.026148111
OOT000029,0,0.039996353
OOT000030,0,0.067185602
OOT000031,1,0.063382181
OOT000032,0,0.042686124
OOT000033,0,0.031198775
OOT000034,0,0.04804718
OOT000035,0,0.028664461
OOT000036,0,0.040545823
OOT000037,0,0.032782788
OOT000038,0,0.037334278
OOT000039,0,0.172252561
OOT000040,0,0.067514933
OOT000041,0,0.039670376
OOT000042,0,0.048855436
OOT000043,0,0.069865902
OOT000044,0,0.038974744
OOT000045,0,0.033230744
OOT000046,1,0.207483503
OOT000047,0,0.038236683
OOT000048,0,0.040417205
OOT000049,0,0.04685725
OOT000050,0,0.067757872
OOT000051,0,0.040983535
OOT000052,0,0.051203917
OOT000053,0,0.070890144
OOT000054,0,0.066120723
OOT000055,0,0.038021665
OOT000056,0,0.041796899
OOT000057,0,0.035352945
OOT000058,0,0.055675515
OOT000059,0,0.04990296
OOT000060,0,0.070579793
OOT000061,0,0.060749387
OOT000062,0,0.053809447
OOT000063,1,0.122214873
OOT000064,0,0.041713611
OOT000065,0,0.05785923
OOT000066,0,0.059180742
OOT000067,0,0.341500512
OOT000068,0,0.141867534
OOT000069,0,0.031129952
OOT000070,1,0.036637204
OOT000071,1,0.067957741
OOT000072,0,0.034314201
OOT000073,0,0.058689994
OOT000074,0,0.041382782
OOT000075,0,0.248201013
OOT000076,0,0.045212393
OOT000077,0,0.142778686
OOT000078,0,0.097215617
OOT000079,1,0.086732455
OOT000080,1,0.050963495
OOT000081,0,0.039391738
OOT000082,0,0.036570604
OOT000083,0,0.040323526
OOT000084,0,0.046293371
OOT000085,0,0.033803637
OOT000086,0,0.026729971
OOT000087,0,0.067443474
OOT000088,0,0.034831
OOT000089,1,0.100094182
OOT000090,0,0.03728625
OOT000091,0,0.068477211
OOT000092,0,0.045239008
OOT000093,0,0.042519933
OOT000094,0,0.045713594
OOT000095,0,0.084616941
OOT000096,0,0.033870791
OOT000097,0,0.058815636
OOT000098,0,0.025845388
OOT000099,0,0.033209612
OOT000100,1,0.053213156
OOT000101,0,0.037949781
OOT000102,0,0.02600789
OOT000103,1,0.064123576
OOT000104,0,0.040289277
OOT000105,0,0.123321678
OOT000106,0,0.036635779
OOT000107,0,0.077945906
OOT000108,0,0.047260975
OOT000109,0,0.065215782
OOT000110,1,0.046755641
OOT000111,0,0.049476442
OOT000112,0,0.054684592
OOT000113,0,0.153454347
OOT000114,0,0.055164839
OOT000115,0,0.135098988
OOT000116,0,0.040717772
OOT000117,0,0.039291657
OOT000118,0,0.054552111
OOT000119,0,0.056729609
OOT000120,0,0.055386721
OOT000121,0,0.049222712
OOT000122,0,0.057224935
OOT000123,0,0.047029787
OOT000124,0,0.042479117
OOT000125,0,0.044507001
OOT000126,0,0.043496267
OOT000127,0,0.038513683
OOT000128,0,0.090814935
OOT000129,1,0.052876784
OOT000130,0,0.044099954
OOT000131,0,0.041024232
OOT000132,0,0.037562611
OOT000133,0,0.060719231
OOT000134,0,0.057990831
OOT000135,0,0.085561171
OOT000136,0,0.033412117
OOT000137,0,0.072026993
OOT000138,0,0.06519946
OOT000139,0,0.06680375
OOT000140,0,0.035581227
OOT000141,0,0.032642584
OOT000142,0,0.04054599
OOT000143,0,0.026247087
OOT000144,0,0.029725461
OOT000145,0,0.048598416
OOT000146,0,0.039406975
OOT000147,0,0.058209253
OOT000148,0,0.062023156
OOT000149,0,0.040586234
OOT000150,0,0.059252595
OOT000151,0,0.047764452
OOT000152,0,0.156391317
OOT000153,0,0.023610479
OOT000154,0,0.047619634
OOT000155,0,0.05998722
OOT000156,0,0.03575349
OOT000157,0,0.049661607
OOT000158,1,0.070823024
OOT000159,0,0.039279018
OOT000160,0,0.087656781
OOT000161,0,0.030840735
OOT000162,0,0.031295731
OOT000163,0,0.033440721
OOT000164,0,0.044645889
OOT000165,1,0.051966462
OOT000166,1,0.054996307
OOT000167,0,0.059259882
OOT000168,0,0.076903981
OOT000169,0,0.029135644
OOT000170,1,0.023526851
OOT000171,0,0.079740529
OOT000172,0,0.041093915
OOT000173,0,0.045578711
OOT000174,0,0.069254849
OOT000175,0,0.048007928
OOT000176,0,0.04674046
OOT000177,0,0.060440764
OOT000178,0,0.087384572
OOT000179,0,0.071185565
OOT000180,0,0.038116263
OOT000181,0,0.06685472
OOT000182,0,0.046169648
OOT000183,1,0.085977181
OOT000184,0,0.124809279
OOT000185,0,0.063994808
OOT000186,0,0.043044185
OOT000187,0,0.082284282
OOT000188,0,0.077808472
OOT000189,0,0.042359085
OOT000190,0,0.107587441
OOT000191,0,0.051682521
OOT000192,1,0.073283374
OOT000193,0,0.056678943
OOT000194,0,0.090619273
OOT000195,0,0.057786413
OOT000196,0,0.039960689
OOT000197,0,0.081040973
OOT000198,0,0.048454844
OOT000199,0,0.054807245
OOT000200,0,0.055708403
OOT000201,0,0.04014026
OOT000202,0,0.071346386
OOT000203,0,0.040606483
OOT000204,0,0.076375928
OOT000205,0,0.05086334
OOT000206,0,0.037603815
OOT000207,0,0.075975353
OOT000208,0,0.046274272
OOT000209,0,0.034188467
OOT000210,0,0.033866017
OOT000211,0,0.044898035
OOT000212,0,0.046913247
OOT000213,0,0.160655571
OOT000214,0,0.025512532
OOT000215,0,0.050398977
OOT000216,0,0.063612084
OOT000217,0,0.049454875
OOT000218,0,0.042390326
OOT000219,0,0.077274188
OOT000220,0,0.053781401
OOT000221,1,0.038905955
OOT000222,0,0.089474891
OOT000223,0,0.131733179
OOT000224,0,0.045866773
OOT000225,0,0.033008454
OOT000226,0,0.022423729
OOT000227,0,0.070133413
OOT000228,0,0.114917232
OOT000229,0,0.075184272
OOT000230,0,0.040151512
OOT000231,0,0.043999581
OOT000232,0,0.039294295
OOT000233,0,0.037402415
OOT000234,0,0.057602054
OOT000235,0,0.074751157
OOT000236,0,0.04676911
OOT000237,0,0.030488668
OOT000238,0,0.078058013
OOT000239,0,0.083354253
OOT000240,0,0.050534087
OOT000241,0,0.042963109
OOT000242,1,0.087690481
OOT000243,0,0.054347877
OOT000244,0,0.040877149
OOT000245,1,0.073706045
OOT000246,0,0.038730217
OOT000247,0,0.044922002
OOT000248,0,0.027467631
OOT000249,0,0.060202179
OOT000250,0,0.057035733
OOT000251,1,0.061436864
OOT000252,0,0.036406071
OOT000253,0,0.060749911
OOT000254,0,0.049294162
OOT000255,0,0.060253812
OOT000256,0,0.025113112
OOT000257,1,0.069542213
OOT000258,0,0.060865364
OOT000259,1,0.039173148
OOT000260,0,0.03356492
OOT000261,0,0.047853189
OOT000262,0,0.198074831
OOT000263,0,0.037899234
OOT000264,0,0.116705259
OOT000265,0,0.038387313
OOT000266,0,0.082611341
OOT000267,0,0.041563297
OOT000268,0,0.049908946
OOT000269,0,0.057420677
OOT000270,0,0.044135446
OOT000271,0,0.050542693
OOT000272,1,0.044258854
OOT000273,0,0.064279669
OOT000274,0,0.036646247
OOT000275,0,0.041715172
OOT000276,0,0.038481876
OOT000277,0,0.026941743
OOT000278,0,0.044521073
OOT000279,0,0.045846141
OOT000280,0,0.052255342
OOT000281,0,0.045161449
OOT000282,0,0.056168855
OOT000283,1,0.131437316
OOT000284,1,0.097174682
OOT000285,0,0.035854407
OOT000286,1,0.054891828
OOT000287,0,0.059963876
OOT000288,0,0.034229216
OOT000289,0,0.061107301
OOT000290,0,0.226163414
OOT000291,1,0.050223192
OOT000292,0,0.040567616
OOT000293,0,0.041304608
OOT000294,0,0.060363486
OOT000295,0,0.048347686
OOT000296,0,0.062891139
OOT000297,0,0.056747796
OOT000298,1,0.089948924
OOT000299,0,0.028519893
OOT000300,0,0.057467662
OOT000301,0,0.04536795
OOT000302,0,0.04103682
OOT000303,0,0.051279949
OOT000304,0,0.076473253
OOT000305,0,0.075657743
OOT000306,0,0.107262587
OOT000307,0,0.053188591
OOT000308,0,0.039835715
OOT000309,0,0.047891856
OOT000310,0,0.080530979
OOT000311,0,0.053178909
OOT000312,0,0.038518604
OOT000313,0,0.054506463
OOT000314,0,0.03227708
OOT000315,0,0.034851941
OOT000316,0,0.044767376
OOT000317,0,0.060781947
OOT000318,0,0.026947721
OOT000319,0,0.031217827
OOT000320,0,0.051845612
OOT000321,0,0.048958899
OOT000322,0,0.048095798
OOT000323,0,0.050966808
OOT000324,0,0.056664326
OOT000325,0,0.050753045
OOT000326,0,0.051175356
OOT000327,0,0.0335213
OOT000328,0,0.059520934
OOT000329,0,0.036957147
OOT000330,0,0.080198224
OOT000331,0,0.05252969
OOT000332,0,0.058204087
OOT000333,0,0.04596217
OOT000334,0,0.087882721
OOT000335,0,0.062592655
OOT000336,0,0.044217614
OOT000337,0,0.047608403
OOT000338,0,0.030899403
OOT000339,0,0.03886146
OOT000340,1,0.036552533
OOT000341,0,0.045206717
OOT000342,0,0.042095157
OOT000343,0,0.033982072
OOT000344,0,0.049218743
OOT000345,1,0.094523832
OOT000346,0,0.084481339
OOT000347,0,0.417846602
OOT000348,0,0.055702049
OOT000349,0,0.041449049
OOT000350,0,0.071020083
OOT000351,0,0.03264029
OOT000352,0,0.041399205
OOT000353,0,0.046966449
OOT000354,1,0.044533924
OOT000355,0,0.039972334
OOT000356,0,0.068509249
OOT000357,0,0.068541624
OOT000358,0,0.044080222
OOT000359,0,0.047674138
OOT000360,0,0.04251433
OOT000361,0,0.085962072
OOT000362,0,0.032338188
OOT000363,0,0.070558467
OOT000364,0,0.027767197
OOT000365,0,0.043029449
OOT000366,0,0.051652297
OOT000367,0,0.082084359
OOT000368,0,0.041728266
OOT000369,0,0.036895987
OOT000370,0,0.066599375
OOT000371,0,0.05109953
OOT000372,0,0.032622372
OOT000373,0,0.062175948
OOT000374,0,0.043475535
OOT000375,0,0.038101138
OOT000376,0,0.076960503
OOT000377,0,0.126986036
OOT000378,0,0.063738033
OOT000379,0,0.027208155
OOT000380,0,0.041625599
OOT000381,0,0.03775108
OOT000382,0,0.060285039
